question;ground_truth_output
Bagian tumbuhan;"[{""term"": ""Akar"", ""definition"": ""Bagian tumbuhan yang berfungsi menyerap air dan nutrisi dari tanah serta menopang tumbuhan.""}, {""term"": ""Batang"", ""definition"": ""Bagian tumbuhan yang berfungsi menopang daun dan mengangkut air serta nutrisi ke seluruh bagian tumbuhan.""}, {""term"": ""Daun"", ""definition"": ""Bagian tumbuhan yang menjadi tempat utama berlangsungnya proses fotosintesis untuk membuat makanan.""}, {""term"": ""Bunga"", ""definition"": ""Bagian tumbuhan yang berfungsi untuk perkembangbiakan atau reproduksi.""}, {""term"": ""Buah"", ""definition"": ""Struktur pada tumbuhan yang merupakan perkembangan dari bakal buah dan berfungsi melindungi serta menyebarkan biji.""}, {""term"": ""Biji"", ""definition"": ""Alat perkembangbiakan utama yang mengandung calon individu baru.""}, {""term"": ""Kelopak Bunga (Kaliks)"", ""definition"": ""Bagian terluar bunga yang berfungsi melindungi kuncup bunga saat belum mekar.""}, {""term"": ""Mahkota Bunga (Korola)"", ""definition"": ""Bagian bunga berwarna cerah yang menarik serangga untuk penyerbukan.""}, {""term"": ""Benang Sari (Stamen)"", ""definition"": ""Organ reproduksi jantan pada bunga yang menghasilkan serbuk sari.""}, {""term"": ""Putik (Karpel)"", ""definition"": ""Organ reproduksi betina pada bunga yang berisi bakal biji.""}, {""term"": ""Eksokarp (Epikarp)"", ""definition"": ""Lapisan terluar dari dinding buah, atau kulit buah.""}, {""term"": ""Mesokarp"", ""definition"": ""Lapisan tengah dari dinding buah, seringkali merupakan bagian yang tebal dan berdaging.""}, {""term"": ""Endokarp"", ""definition"": ""Lapisan terdalam dari dinding buah yang mengelilingi biji.""}, {""term"": ""Rimpang (Rhizoma)"", ""definition"": ""Modifikasi batang yang tumbuh menjalar di bawah permukaan tanah.""}]"
DNA;"[{""term"": ""DNA"", ""definition"": ""Singkatan dari Deoxyribonucleic Acid, molekul yang membawa instruksi genetik untuk semua organisme.""}, {""term"": ""Nukleotida"", ""definition"": ""Unit dasar penyusun DNA, terdiri dari gugus fosfat, gula deoksiribosa, dan basa nitrogen.""}, {""term"": ""Nukleosida"", ""definition"": ""Bagian dari nukleotida yang terdiri dari gula dan basa nitrogen, tanpa gugus fosfat.""}, {""term"": ""Basa Nitrogen"", ""definition"": ""Komponen kimia pada DNA yang membawa kode genetik (Adenin, Guanin, Sitosin, Timin).""}, {""term"": ""Replikasi DNA"", ""definition"": ""Proses penggandaan DNA untuk memastikan sel anak menerima informasi genetik yang sama.""}, {""term"": ""Southern Blot"", ""definition"": ""Teknik laboratorium untuk mendeteksi urutan DNA spesifik.""}]"
Fotosintesis;"[{""term"": ""Fotosintesis"", ""definition"": ""Proses biokimia di mana tumbuhan mengubah energi cahaya menjadi energi kimia dalam bentuk glukosa.""}, {""term"": ""Klorofil"", ""definition"": ""Pigmen hijau di dalam kloroplas yang berfungsi menangkap energi cahaya matahari.""}, {""term"": ""Kloroplas"", ""definition"": ""Organel di dalam sel tumbuhan tempat berlangsungnya fotosintesis.""}, {""term"": ""Reaksi Terang"", ""definition"": ""Tahap awal fotosintesis yang bergantung pada cahaya untuk menghasilkan ATP dan NADPH.""}, {""term"": ""Siklus Calvin (Reaksi Gelap)"", ""definition"": ""Tahap kedua fotosintesis yang menggunakan ATP dan NADPH untuk mengubah karbon dioksida menjadi glukosa.""}]"
Photosynthesis;"[{""term"": ""Fotosintesis"", ""definition"": ""Proses biokimia di mana tumbuhan mengubah energi cahaya menjadi energi kimia dalam bentuk glukosa.""}, {""term"": ""Klorofil"", ""definition"": ""Pigmen hijau di dalam kloroplas yang berfungsi menangkap energi cahaya matahari.""}, {""term"": ""Kloroplas"", ""definition"": ""Organel di dalam sel tumbuhan tempat berlangsungnya fotosintesis.""}, {""term"": ""Reaksi Terang"", ""definition"": ""Tahap awal fotosintesis yang bergantung pada cahaya untuk menghasilkan ATP dan NADPH.""}, {""term"": ""Siklus Calvin (Reaksi Gelap)"", ""definition"": ""Tahap kedua fotosintesis yang menggunakan ATP dan NADPH untuk mengubah karbon dioksida menjadi glukosa.""}]"
Evolution;"[{""term"": ""Evolusi"", ""definition"": ""Perubahan sifat terwariskan dari suatu populasi organisme dari satu generasi ke generasi berikutnya.""}, {""term"": ""Teori Lamarck"", ""definition"": ""Teori evolusi yang menyatakan bahwa sifat yang diperoleh individu selama hidupnya dapat diwariskan.""}, {""term"": ""Teori Darwin"", ""definition"": ""Teori evolusi melalui seleksi alam, di mana organisme yang paling sesuai dengan lingkungannya akan bertahan hidup dan bereproduksi.""}, {""term"": ""Homologi Organ"", ""definition"": ""Struktur organ dengan asal evolusioner yang sama tetapi fungsi berbeda.""}, {""term"": ""Abiogenesis"", ""definition"": ""Teori yang menyatakan bahwa kehidupan berasal dari benda mati.""}, {""term"": ""Biogenesis"", ""definition"": ""Prinsip yang menyatakan bahwa kehidupan berasal dari kehidupan sebelumnya.""}]"
Virus;"[{""term"": ""Virus"", ""definition"": ""Agen infeksius mikroskopis yang terdiri dari materi genetik (DNA atau RNA) yang terbungkus protein.""}, {""term"": ""Virus Emerging"", ""definition"": ""Virus baru yang muncul dan menyebar di populasi manusia.""}, {""term"": ""Bakteriofag"", ""definition"": ""Virus yang secara spesifik menginfeksi bakteri.""}, {""term"": ""HIV"", ""definition"": ""Human Immunodeficiency Virus, virus yang menyerang sistem kekebalan tubuh.""}, {""term"": ""Virus Litik"", ""definition"": ""Virus yang bereplikasi dengan cara menghancurkan sel inang.""}]"
Symbiosis;"[{""term"": ""Simbiose"", ""definition"": ""Interaksi biologis yang erat antara dua organisme yang berbeda.""}, {""term"": ""Liken"", ""definition"": ""Simbiosis mutualisme antara jamur dan alga.""}, {""term"": ""Mikoriza"", ""definition"": ""Simbiosis mutualisme antara jamur dan akar tumbuhan.""}, {""term"": ""Nodul Akar"", ""definition"": ""Simbiosis mutualisme antara bakteri pengikat nitrogen dan akar tumbuhan polong-polongan.""}]"
Reproduction;"[{""term"": ""Reproduksi"", ""definition"": ""Proses biologis di mana organisme baru dihasilkan dari induknya.""}, {""term"": ""Gametogenesis"", ""definition"": ""Proses pembentukan sel kelamin (gamet).""}, {""term"": ""Meiosis"", ""definition"": ""Pembelahan sel yang mengurangi jumlah kromosom menjadi setengahnya, penting untuk reproduksi seksual.""}, {""term"": ""Fertilisasi"", ""definition"": ""Proses penyatuan gamet jantan dan betina untuk membentuk zigot.""}, {""term"": ""Zigot"", ""definition"": ""Sel pertama dari individu baru yang terbentuk setelah fertilisasi.""}, {""term"": ""Reproduksi Seksual"", ""definition"": ""Reproduksi yang melibatkan penyatuan gamet dari dua induk.""}, {""term"": ""Reproduksi Aseksual"", ""definition"": ""Reproduksi yang tidak melibatkan penyatuan gamet, menghasilkan keturunan identik dengan induknya.""}, {""term"": ""Polar Body"", ""definition"": ""Sel kecil yang dihasilkan selama oogenesis yang tidak berkembang menjadi sel telur.""}]"
Struktur Heliks Ganda DNA;"[{""term"": ""DNA"", ""definition"": ""Asam deoksiribonukleat, molekul pembawa instruksi genetik.""}, {""term"": ""Heliks Ganda"", ""definition"": ""Struktur khas DNA yang terdiri dari dua untai yang saling berpilin.""}, {""term"": ""Nukleotida"", ""definition"": ""Unit dasar penyusun DNA, terdiri dari gula, fosfat, dan basa nitrogen.""}, {""term"": ""Basa Nitrogen (DNA)"", ""definition"": ""Komponen DNA pembawa kode genetik: Adenin (A), Guanin (G), Sitosin (C), dan Timin (T).""}, {""term"": ""Purin"", ""definition"": ""Kelas basa nitrogen dengan struktur dua cincin (Adenin dan Guanin).""}, {""term"": ""Pirimidin"", ""definition"": ""Kelas basa nitrogen dengan struktur satu cincin (Sitosin dan Timin).""}, {""term"": ""Histon"", ""definition"": ""Protein yang membantu memadatkan DNA menjadi kromatin.""}, {""term"": ""Nukleosom"", ""definition"": ""Unit dasar kromatin, terdiri dari DNA yang melilit protein histon.""}, {""term"": ""Replikasi DNA"", ""definition"": ""Proses penggandaan DNA sebelum pembelahan sel.""}, {""term"": ""Model Semikonservatif"", ""definition"": ""Model replikasi DNA di mana setiap untai lama menjadi cetakan untuk untai baru.""}]"
Sistem Pencernaan;"[{""term"": ""Sistem Pencernaan"", ""definition"": ""Serangkaian organ yang bekerja sama untuk memecah makanan menjadi nutrisi.""}, {""term"": ""Saluran Pencernaan"", ""definition"": ""Jalur yang dilalui makanan dari mulut hingga anus.""}, {""term"": ""Kelenjar Pencernaan"", ""definition"": ""Organ yang menghasilkan enzim untuk membantu pencernaan, seperti kelenjar ludah dan pankreas.""}, {""term"": ""Mulut"", ""definition"": ""Tempat dimulainya pencernaan mekanis dan kimiawi.""}, {""term"": ""Gigi"", ""definition"": ""Struktur untuk memotong dan menggiling makanan secara mekanis.""}, {""term"": ""Kerongkongan (Esofagus)"", ""definition"": ""Saluran berotot yang menghubungkan mulut dengan lambung.""}, {""term"": ""Lambung"", ""definition"": ""Organ yang mencampur makanan dengan asam dan enzim.""}, {""term"": ""Usus Halus"", ""definition"": ""Tempat utama penyerapan nutrisi.""}, {""term"": ""Usus Besar"", ""definition"": ""Menyerap air dari sisa makanan dan membentuk feses.""}, {""term"": ""Anus"", ""definition"": ""Bukaan di ujung saluran pencernaan untuk mengeluarkan feses.""}, {""term"": ""Pencernaan Mekanik"", ""definition"": ""Proses pemecahan makanan secara fisik, seperti mengunyah.""}, {""term"": ""Pencernaan Kimiawi"", ""definition"": ""Proses pemecahan makanan dengan bantuan enzim.""}, {""term"": ""Mastication"", ""definition"": ""Istilah ilmiah untuk proses mengunyah.""}, {""term"": ""Feses"", ""definition"": ""Sisa makanan yang tidak tercerna yang dikeluarkan dari tubuh.""}]"
